Área;Casos desnutrición aguda (moderada severa);Proporción desnutrición aguda (moderada severa);Casos Retraso en talla;Proporción Retraso en talla;Casos desnutrición global;Proporción desnutrición global;Casos Exceso de peso;Proporción exceso de peso;Total población ;Año
Barrios Unidos;71;2,9;235;9,8;114;4,7;95;3,9;2410;2018
Teusaquillo;99;3,9;287;11,3;142;5,6;115;4,5;2542;2018
Los Mártires;81;3,7;310;14,1;167;7,6;93;4,2;2195;2018
Antonio Nariño;76;3,6;248;11,8;147;7;82;3,9;2097;2018
Puente Aranda;170;3,4;592;12;310;6,3;222;4,5;4929;2018
Candelaria;64;3,4;248;13;108;5,7;78;4,1;1905;2018
Rafael Uribe Uribe;253;3,2;1165;14,6;567;7,1;323;4;7989;2018
Ciudad Bolívar;642;3,8;2636;15,7;1208;7,2;733;4,4;16742;2018
Sumapaz;8;6,7;20;16,7;14;11,7;12;10;120;2018
Distrito;5549;3,3;22689;13,4;10993;6,5;6826;4;169661;2018
Usaquén;223;2,5;997;11,2;541;6,1;348;3,9;8871;2019
Chapinero;105;3,3;453;14,1;232;7,2;112;3,5;3216;2019
Santa Fe;134;3,9;463;13,6;263;7,7;130;3,8;3409;2019
San Cristóbal;429;3,9;1856;17;902;8,3;371;3,4;10931;2019
Usme;462;3,9;1784;15;856;7,2;467;3,9;11854;2019
Tunjuelito;237;4,5;612;11,6;339;6,4;204;3,9;5271;2019
Bosa;784;3,8;2481;11,9;1337;6,4;768;3,7;20847;2019
Kennedy;956;3,4;2883;10,3;1638;5,8;984;3,5;28087;2019
Fontibón;209;2,6;796;9,8;418;5,1;286;3,5;8161;2019
Engativá;460;2,5;1875;10,4;970;5,4;651;3,6;18106;2019
Suba;466;2,2;2285;10,7;1042;4,9;748;3,5;21435;2019
Barrios Unidos;66;2,3;291;10,3;142;5;104;3,7;2831;2019
Teusaquillo;93;2,7;355;10,2;192;5,5;107;3,1;3476;2019
Los Mártires;93;3,8;324;13,2;181;7,4;107;4,4;2452;2019
Antonio Nariño;66;3,2;238;11,5;130;6,3;63;3;2067;2019
Puente Aranda;214;3,7;667;11,4;346;5,9;229;3,9;5847;2019
Candelaria;86;4,3;260;13;147;7,4;64;3,2;1997;2019
Rafael Uribe Uribe;276;3,2;1197;13,7;618;7,1;319;3,7;8734;2019
Ciudad Bolívar;1022;4,9;3053;14,5;1577;7,5;794;3,8;21053;2019
Sumapaz;11;5,2;44;20,9;13;6,2;16;7,6;211;2019
Distrito;6393;3,4;22924;12,1;11892;6,3;6873;3,6;188899;2019
Usaquén;219;3,5;842;13,3;463;7,3;248;3,9;6338;2020
Chapinero;95;3,4;400;14,4;205;7,4;123;4,4;2775;2020
Santa Fe;183;3,5;872;16,8;456;8,8;251;4,8;5193;2020
San Cristóbal;376;3,7;2005;19,9;995;9,9;497;4,9;10098;2020
Usme;565;4,3;2571;19,8;1124;8,7;748;5,8;12994;2020
Tunjuelito;255;5,1;781;15,5;395;7,8;296;5,9;5041;2020
Bosa;509;3,3;2360;15,2;1094;7,1;805;5,2;15500;2020
Kennedy;721;3,3;2882;13,4;1462;6,8;1079;5;21571;2020
Fontibón;277;4,6;790;13;384;6,3;305;5;6070;2020
Engativá;402;3,3;1601;13;778;6,3;617;5;12337;2020
Suba;451;2,4;2366;12,8;1094;5,9;817;4,4;18424;2020
Barrios Unidos;76;3,1;301;12,3;155;6,3;123;5;2451;2020
